Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,231,0,241,0,251,0,22,0,27,0,32,0,5082,6507,8032,100,200,300,5132,6557,8082,50,04,50,14,50,24
2024-01-01 10:00:01,226,0,236,0,246,0,10,0,15,0,20,0,2260,3540,4920,110,210,310,2310,3590,4970,50,13,50,23,50,33
2024-01-01 10:00:02,222,0,232,0,242,0,23,0,28,0,33,0,5106,6496,7986,120,220,320,5156,6546,8036,49,98,50,08,50,18
2024-01-01 10:00:03,233,0,243,0,253,0,19,0,24,0,29,0,4427,5832,7337,130,230,330,4477,5882,7387,49,92,50,02,50,12
2024-01-01 10:00:04,221,0,231,0,241,0,13,0,18,0,23,0,2873,4158,5543,140,240,340,2923,4208,5593,50,18,50,28,50,38
2024-01-01 10:00:05,239,0,249,0,259,0,17,0,22,0,27,0,4063,5478,6993,150,250,350,4113,5528,7043,49,93,50,03,50,13
2024-01-01 10:00:06,236,0,246,0,256,0,14,0,19,0,24,0,3304,4674,6144,160,260,360,3354,4724,6194,50,15,50,25,50,35
2024-01-01 10:00:07,223,0,233,0,243,0,15,0,20,0,25,0,3345,4660,6075,170,270,370,3395,4710,6125,50,15,50,25,50,35
2024-01-01 10:00:08,226,0,236,0,246,0,21,0,26,0,31,0,4746,6136,7626,180,280,380,4796,6186,7676,49,89,49,99,50,09
2024-01-01 10:00:09,222,0,232,0,242,0,10,0,15,0,20,0,2220,3480,4840,190,290,390,2270,3530,4890,50,14,50,24,50,34
