Timestamp,VehicleId,RowIndex,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,Kia_e-Niro,1,223,233,243,22,27,32,4906,6291,7776,100,200,300,4956,6341,7826,50,01,50,11,50,21
2024-01-01 10:00:01,Kia_e-Niro,2,239,249,259,11,16,21,2629,3984,5439,110,210,310,2679,4034,5489,50,18,50,28,50,38
2024-01-01 10:00:02,Kia_e-Niro,3,220,230,240,11,16,21,2420,3680,5040,120,220,320,2470,3730,5090,49,94,50,04,50,14
2024-01-01 10:00:03,Kia_e-Niro,4,226,236,246,11,16,21,2486,3776,5166,130,230,330,2536,3826,5216,50,03,50,13,50,23
2024-01-01 10:00:04,Kia_e-Niro,5,228,238,248,16,21,26,3648,4998,6448,140,240,340,3698,5048,6498,50,16,50,26,50,36
2024-01-01 10:00:05,Kia_e-Niro,6,236,246,256,22,27,32,5192,6642,8192,150,250,350,5242,6692,8242,50,03,50,13,50,23
2024-01-01 10:00:06,Kia_e-Niro,7,226,236,246,23,28,33,5198,6608,8118,160,260,360,5248,6658,8168,50,19,50,29,50,39
2024-01-01 10:00:07,Kia_e-Niro,8,224,234,244,21,26,31,4704,6084,7564,170,270,370,4754,6134,7614,50,17,50,27,50,37
2024-01-01 10:00:08,Kia_e-Niro,9,233,243,253,11,16,21,2563,3888,5313,180,280,380,2613,3938,5363,49,89,49,99,50,09
2024-01-01 10:00:09,Kia_e-Niro,10,227,237,247,20,25,30,4540,5925,7410,190,290,390,4590,5975,7460,50,11,50,21,50,31
